id,session,session_seq,visit_id,ss_median_rt_accurate,ss_n_accurate,dm_median_error_distance,dm_mean_error_distance,cs_hit_rate,cs_fa_rate,cs_prop_correct,cs_correc,ss_seconds
336,1,1,336_1_2024-05-23,2284,18,0,5,0.6,0,0.8,0.6,2.284
336,2,2,336_2_2024-05-23,2367.5,18,10,6.666666666666667,0.2,0,0.6,0.2,2.3675
336,3,3,336_3_2024-05-23,2768.5,18,0,3.333333333333333,0.8,0,0.9,0.8,2.7685
337,1,1,337_1_2024-07-24,2150,17,15,12.060113295832982,0.4,0,0.7,0.4,2.15
337,2,2,337_2_2024-07-24,1883,17,10,14.023689270621825,0,0,0.5,0,1.883
337,3,3,337_3_2024-07-24,2465,17,10,6.666666666666667,0.4,0.2,0.6,0.2,2.465
338,1,1,338_1_2024-07-15,2530,16,12.071067811865476,13.047378541243651,0.4,0.2,0.6,0.2,2.53
338,2,2,338_2_2024-07-15,2642.5,18,17.071067811865476,16.87069582478744,0.8,0.2,0.8,0.6000000000000001,2.6425
338,3,3,338_3_2024-07-15,2449,17,10,12.357022603955159,1,0.2,0.9,0.8,2.449
339,1,1,339_1_2024-07-22,2184,18,15,12.060113295832982,1,0,1,1,2.184
339,2,2,339_2_2024-07-22,2017.5,18,10,9.023689270621825,0.8,0,0.9,0.8,2.0175
339,3,3,339_3_2024-07-22,2702,18,10,10,0.8,0,0.9,0.8,2.702
340,1,1,340_1_2024-07-30,3209,18,22.071067811865476,19.714045207910317,0.2,0.2,0.5,0,3.209
340,2,2,340_2_2024-07-30,2418,18,19.14213562373095,15.107491837076633,0,0.4,0.3,-0.4,2.418
340,3,3,340_3_2024-07-30,2334.5,18,5,5,0.2,0.2,0.5,0,2.3345
341,1,1,341_1_2024-08-12,2770,18,15,15,0.4,0.4,0.5,0,2.77
341,2,2,341_2_2024-08-12,1984.5,18,14.142135623730951,19.714045207910317,0,0.4,0.3,-0.4,1.9845
341,3,3,341_3_2024-08-12,1850,17,17.071067811865476,17.35702260395516,0.2,0.2,0.5,0,1.85
342,1,1,342_1_2024-08-19,4848.5,18,12.071067811865476,9.417135899788141,0.8,0.2,0.8,0.6000000000000001,4.8485
342,2,2,342_2_2024-08-19,5002,17,17.071067811865476,16.380711874576985,0.4,0,0.7,0.4,5.002
342,3,3,342_3_2024-08-19,4178,18,15,14.023689270621825,0.4,0,0.7,0.4,4.178
343,1,1,343_1_2024-08-29,2841.5,18,12.071067811865476,13.440825170409967,0.4,0.2,0.6,0.2,2.8415
343,2,2,343_2_2024-08-29,2560,18,12.071067811865476,11.083802566454809,0.4,0.2,0.6,0.2,2.56
343,3,3,343_3_2024-08-29,2818.5,18,17.071067811865476,16.083802566454807,0.6,0,0.8,0.6,2.8185
346,1,1,346_1_2024-09-19,1123.5,14,17.071067811865476,19.023689270621826,0.6,0,0.8,0.6,1.1235
346,2,2,346_2_2024-09-19,1283,13,7.0710678118654755,8.047378541243651,0.4,0,0.7,0.4,1.283
346,3,3,346_3_2024-09-19,1433.5,16,5,6.666666666666666,0.8,0,0.9,0.8,1.4335
347,1,1,347_1_2024-09-23,3541.5,18,15,17.060113295832984,0.8,0,0.9,0.8,3.5415
347,2,2,347_2_2024-09-23,3285.5,18,5,5.6903559372884915,0.2,0.2,0.5,0,3.2855
347,3,3,347_3_2024-09-23,3235,18,5,6.666666666666666,0.2,0,0.6,0.2,3.235
348,1,1,348_1_2024-10-01,2035,17,0,1.6666666666666665,0.4,0,0.7000000000000001,0.4,2.035
348,2,2,348_2_2024-10-01,1867,18,0,3.333333333333333,1,0,1,1,1.867
348,3,3,348_3_2024-10-01,2150,18,5,5.6903559372884915,1,0,1,1,2.15
349,1,1,349_1_2024-09-24,1133,17,12.071067811865476,14.428090415820634,0.8,0,0.9,0.8,1.133
349,2,2,349_2_2024-09-24,1142,14,12.071067811865476,13.047378541243651,1,0,1,1,1.142
349,3,3,349_3_2024-09-24,1950,17,17.071067811865476,17.071067811865476,0.6,0,0.8,0.6,1.95
351,2,1,351_2_2024-09-26,2409,17,17.071067811865476,11.380711874576983,0.6,0.2,0.7,0.39999999999999997,2.409
351,3,2,351_3_2024-09-26,2452.5,18,10,10,1,0,1,1,2.4525
351,4,3,351_4_2024-09-26,2659,18,7.0710678118654755,7.3570226039551585,0.8,0,0.9,0.8,2.659
352,1,1,352_1_2024-11-21,2616.5,18,15,11.666666666666666,0.8,0,0.9,0.8,2.6165
352,2,2,352_2_2024-11-21,2035,18,0,5,1,0,1,1,2.035
352,3,3,352_3_2024-11-21,1749.5,18,0,1.6666666666666665,0.8,0,0.9,0.8,1.7495
353,2,1,353_2_2024-10-21,3702,17,17.071067811865476,13.737734478532142,0.6,0,0.8,0.6,3.702
353,3,2,353_3_2024-10-21,4319.5,18,15,14.023689270621825,0.4,0,0.7,0.4,4.3195
353,4,3,353_4_2024-10-21,2500,18,10,9.023689270621825,0.2,0.2,0.5,0,2.5
354,1,1,354_1_2024-10-29,3550.5,18,10,10.393446629166316,0.8,0,0.9,0.8,3.5505
354,2,2,354_2_2024-10-29,3126.5,18,0,8.440825170409965,0.8,0.4,0.7,0.4,3.1265
354,3,3,354_3_2024-10-29,3443,18,0,3.333333333333333,1,0,1,1,3.443
355,1,1,355_1_2024-11-07,2183,17,0,0,0.2,0.2,0.5,0,2.183
355,2,2,355_2_2024-11-07,2931,17,0,3.333333333333333,1,0.2,0.9,0.8,2.931
355,3,3,355_3_2024-11-07,2250,17,5,6.666666666666666,0.8,0,0.9,0.8,2.25
356,1,1,356_1_2024-11-26,2113,18,14.142135623730951,13.737734478532142,0.8,0.2,0.8,0.6000000000000001,2.113
356,2,2,356_2_2024-11-26,2100.5,18,5,5.6903559372884915,1,0,1,1,2.1005
356,3,3,356_3_2024-11-26,1791.5,18,5,3.3333333333333335,1,0.2,0.9,0.8,1.7915
357,1,1,357_1_2024-12-04,1976,18,5,5,0.6,0.2,0.7,0.39999999999999997,1.976
357,2,2,357_2_2024-12-04,2736,18,0,1.6666666666666665,1,0,1,1,2.736
357,3,3,357_3_2024-12-04,1863.5,18,0,2.3570226039551585,0.8,0.2,0.8,0.6000000000000001,1.8635
358,1,1,358_1_2024-12-09,1820.5,18,7.0710678118654755,7.3570226039551585,0.8,0,0.9,0.8,1.8205
358,2,2,358_2_2024-12-09,1620,18,0,2.3570226039551585,0.6,0,0.8,0.6,1.62
358,3,3,358_3_2024-12-09,1560,18,0,5.690355937288492,0.8,0.2,0.8,0.6000000000000001,1.56
359,1,1,359_1_2024-12-12,2008,18,11.180339887498949,11.7741585037433,0.8,0,0.9,0.8,2.008
359,2,2,359_2_2024-12-12,2267,17,19.14213562373095,18.440825170409965,0.4,0,0.7,0.4,2.267
359,3,3,359_3_2024-12-12,1524.5,18,5,8.333333333333334,0.4,0,0.7,0.4,1.5245
360,1,1,360_1_2025-01-15,2476.5,18,11.180339887498949,11.083802566454809,0.6,0.4,0.6,0.19999999999999996,2.4765
360,2,2,360_2_2025-01-15,2028.5,18,17.071067811865476,15.690355937288492,0.6,0.4,0.6,0.19999999999999996,2.0285
360,3,3,360_3_2025-01-15,2059,18,19.14213562373095,17.071067811865476,0.8,0.2,0.8,0.6000000000000001,2.059
361,1,1,361_1_2025-01-31,3118,18,10,13.047378541243651,0.4,0.2,0.6,0.2,3.118
361,2,2,361_2_2025-01-31,2868,17,5,5,0.2,0,0.6,0.2,2.868
361,3,3,361_3_2025-01-31,2410,18,12.071067811865476,13.047378541243651,0.6,0,0.8,0.6,2.41
362,1,1,362_1_2025-01-16,2493,18,10,8.72677996249965,1,0.2,0.9,0.8,2.493
362,2,2,362_2_2025-01-16,2678,17,7.0710678118654755,7.3570226039551585,1,0,1,1,2.678
362,3,3,362_3_2025-01-16,2534.5,18,5,6.666666666666666,1,0,1,1,2.5345
