id,session,session_seq,visit_id,trial,trial_type,response_time,accuracy
312,2,2,312_2_2023-09-12,6,NORMAL,2051,1
312,2,2,312_2_2023-09-12,7,NORMAL,1733,1
312,2,2,312_2_2023-09-12,8,LURE,2334,1
312,2,2,312_2_2023-09-12,9,NORMAL,1934,1
312,2,2,312_2_2023-09-12,10,NORMAL,1619,1
312,2,2,312_2_2023-09-12,11,LURE,1953,1
312,2,2,312_2_2023-09-12,12,NORMAL,2384,1
312,2,2,312_2_2023-09-12,13,LURE,2369,1
312,2,2,312_2_2023-09-12,14,LURE,3784,1
312,2,2,312_2_2023-09-12,15,LURE,2584,1
312,2,2,312_2_2023-09-12,16,NORMAL,1136,1
312,2,2,312_2_2023-09-12,17,NORMAL,4751,1
312,2,2,312_2_2023-09-12,18,LURE,1278,1
312,3,3,312_3_2023-09-12,1,LURE,5641,1
312,3,3,312_3_2023-09-12,2,NORMAL,2501,1
312,3,3,312_3_2023-09-12,3,NORMAL,1901,1
312,3,3,312_3_2023-09-12,4,NORMAL,1503,1
312,3,3,312_3_2023-09-12,5,NORMAL,1334,1
312,3,3,312_3_2023-09-12,6,NORMAL,1852,1
312,3,3,312_3_2023-09-12,7,LURE,2667,1
312,3,3,312_3_2023-09-12,8,NORMAL,2699,1
312,3,3,312_3_2023-09-12,9,LURE,2723,1
312,3,3,312_3_2023-09-12,10,LURE,1858,1
312,3,3,312_3_2023-09-12,11,LURE,2702,1
312,3,3,312_3_2023-09-12,12,LURE,2152,1
312,3,3,312_3_2023-09-12,13,LURE,3018,1
312,3,3,312_3_2023-09-12,14,LURE,2000,0
312,3,3,312_3_2023-09-12,15,NORMAL,982,1
312,3,3,312_3_2023-09-12,16,LURE,1069,1
312,3,3,312_3_2023-09-12,17,NORMAL,1310,1
312,3,3,312_3_2023-09-12,18,NORMAL,1096,1
313,1,1,313_1_2023-11-14,1,NORMAL,1662,1
313,1,1,313_1_2023-11-14,2,NORMAL,2600,1
313,1,1,313_1_2023-11-14,3,NORMAL,2175,1
313,1,1,313_1_2023-11-14,4,NORMAL,1850,1
313,1,1,313_1_2023-11-14,5,NORMAL,2323,1
313,1,1,313_1_2023-11-14,6,NORMAL,2935,1
313,1,1,313_1_2023-11-14,7,LURE,1021,0
313,1,1,313_1_2023-11-14,8,NORMAL,1971,1
313,1,1,313_1_2023-11-14,9,LURE,1900,1
313,1,1,313_1_2023-11-14,10,LURE,1785,1
313,1,1,313_1_2023-11-14,11,NORMAL,1785,1
313,1,1,313_1_2023-11-14,12,NORMAL,1441,1
313,1,1,313_1_2023-11-14,13,LURE,2068,1
313,1,1,313_1_2023-11-14,14,LURE,1951,1
313,1,1,313_1_2023-11-14,15,LURE,1017,1
313,1,1,313_1_2023-11-14,16,LURE,1333,1
313,1,1,313_1_2023-11-14,17,LURE,918,1
313,1,1,313_1_2023-11-14,18,LURE,749,0
313,2,2,313_2_2023-11-14,1,LURE,1415,1
313,2,2,313_2_2023-11-14,2,NORMAL,1682,1
313,2,2,313_2_2023-11-14,3,LURE,3235,1
313,2,2,313_2_2023-11-14,4,LURE,1564,1
313,2,2,313_2_2023-11-14,5,NORMAL,1665,0
313,2,2,313_2_2023-11-14,6,NORMAL,2734,1
313,2,2,313_2_2023-11-14,7,LURE,1317,1
313,2,2,313_2_2023-11-14,8,LURE,1117,1
313,2,2,313_2_2023-11-14,9,LURE,2900,1
313,2,2,313_2_2023-11-14,10,NORMAL,1669,1
313,2,2,313_2_2023-11-14,11,LURE,1452,0
313,2,2,313_2_2023-11-14,12,NORMAL,2852,1
313,2,2,313_2_2023-11-14,13,LURE,1600,1
313,2,2,313_2_2023-11-14,14,LURE,935,0
313,2,2,313_2_2023-11-14,15,NORMAL,1634,1
313,2,2,313_2_2023-11-14,16,NORMAL,1350,1
313,2,2,313_2_2023-11-14,17,NORMAL,2102,1
313,2,2,313_2_2023-11-14,18,NORMAL,6783,1
313,3,3,313_3_2023-11-14,1,LURE,1299,1
313,3,3,313_3_2023-11-14,2,LURE,783,1
313,3,3,313_3_2023-11-14,3,NORMAL,1268,1
313,3,3,313_3_2023-11-14,4,NORMAL,1466,1
313,3,3,313_3_2023-11-14,5,LURE,1518,0
313,3,3,313_3_2023-11-14,6,LURE,853,1
313,3,3,313_3_2023-11-14,7,NORMAL,2067,1
313,3,3,313_3_2023-11-14,8,LURE,1934,1
313,3,3,313_3_2023-11-14,9,LURE,1166,0
313,3,3,313_3_2023-11-14,10,NORMAL,1184,1
313,3,3,313_3_2023-11-14,11,NORMAL,1467,1
313,3,3,313_3_2023-11-14,12,NORMAL,2116,1
313,3,3,313_3_2023-11-14,13,LURE,1766,0
313,3,3,313_3_2023-11-14,14,LURE,1233,1
313,3,3,313_3_2023-11-14,15,NORMAL,2817,1
313,3,3,313_3_2023-11-14,16,NORMAL,2834,1
313,3,3,313_3_2023-11-14,17,LURE,2119,1
313,3,3,313_3_2023-11-14,18,NORMAL,1234,1
