task,person,occasion,unit,unit_type,value
dot_memory,309,2,3,trial,2.3570226039551585
dot_memory,312,1,1,trial,1.6666666666666667
dot_memory,312,1,2,trial,1.6666666666666667
dot_memory,312,1,3,trial,5.6903559372884915
dot_memory,312,2,1,trial,2.3570226039551585
dot_memory,312,2,2,trial,0
dot_memory,312,2,3,trial,5
dot_memory,312,3,1,trial,0
dot_memory,312,3,2,trial,1.6666666666666667
dot_memory,312,3,3,trial,0
dot_memory,313,1,1,trial,3.72677996249965
dot_memory,313,1,2,trial,7.3570226039551585
dot_memory,313,1,3,trial,7.060113295832983
dot_memory,313,2,1,trial,2.3570226039551585
dot_memory,313,2,2,trial,7.3570226039551585
dot_memory,313,2,3,trial,9.41713589978814
dot_memory,313,3,1,trial,6.937129433613966
dot_memory,313,3,2,trial,10.393446629166316
dot_memory,313,3,3,trial,4.0236892706218255
dot_memory,314,1,1,trial,7.750469233121475
dot_memory,314,1,2,trial,0
dot_memory,314,1,3,trial,6.666666666666667
dot_memory,314,2,1,trial,0
dot_memory,314,2,2,trial,6.666666666666667
dot_memory,314,2,3,trial,0
dot_memory,314,3,1,trial,3.3333333333333335
dot_memory,314,3,2,trial,6.666666666666667
dot_memory,314,3,3,trial,0
dot_memory,315,1,1,trial,0
dot_memory,315,1,2,trial,3.3333333333333335
dot_memory,315,1,3,trial,6.380711874576984
dot_memory,315,2,1,trial,4.0236892706218255
dot_memory,315,2,2,trial,1.6666666666666667
dot_memory,315,2,3,trial,8.440825170409967
dot_memory,315,3,1,trial,0
dot_memory,315,3,2,trial,1.6666666666666667
dot_memory,315,3,3,trial,7.060113295832983
dot_memory,316,1,1,trial,0
dot_memory,316,1,2,trial,0
dot_memory,316,1,3,trial,0
dot_memory,316,2,1,trial,0
dot_memory,316,2,2,trial,2.3570226039551585
dot_memory,316,2,3,trial,0
dot_memory,316,3,1,trial,0
dot_memory,316,3,2,trial,0
dot_memory,316,3,3,trial,1.6666666666666667
dot_memory,317,1,1,trial,5
dot_memory,317,1,2,trial,3.3333333333333335
dot_memory,317,1,3,trial,4.714045207910317
dot_memory,317,2,1,trial,6.666666666666667
dot_memory,317,2,2,trial,5.6903559372884915
dot_memory,317,2,3,trial,6.666666666666667
dot_memory,317,3,1,trial,5
dot_memory,317,3,2,trial,7.750469233121475
dot_memory,317,3,3,trial,9.294152037569123
dot_memory,318,1,1,trial,0
dot_memory,318,1,2,trial,1.6666666666666667
dot_memory,318,1,3,trial,0
dot_memory,318,2,1,trial,1.6666666666666667
dot_memory,318,2,2,trial,0
dot_memory,318,2,3,trial,0
dot_memory,318,3,1,trial,0
dot_memory,318,3,2,trial,0
dot_memory,318,3,3,trial,0
dot_memory,319,1,1,trial,1.6666666666666667
dot_memory,319,1,2,trial,5
dot_memory,319,1,3,trial,0
dot_memory,319,2,1,trial,3.3333333333333335
dot_memory,319,2,2,trial,10.2704627669473
dot_memory,319,2,3,trial,5.6903559372884915
dot_memory,319,3,1,trial,7.750469233121475
dot_memory,319,3,2,trial,1.6666666666666667
dot_memory,319,3,3,trial,0
dot_memory,320,1,1,trial,0
dot_memory,320,1,2,trial,3.3333333333333335
dot_memory,320,1,3,trial,0
dot_memory,320,2,1,trial,0
dot_memory,320,2,2,trial,1.6666666666666667
dot_memory,320,2,3,trial,3.3333333333333335
dot_memory,320,3,1,trial,0
dot_memory,320,3,2,trial,6.666666666666667
dot_memory,320,3,3,trial,4.0236892706218255
dot_memory,321,1,1,trial,5
dot_memory,321,1,2,trial,3.3333333333333335
dot_memory,321,1,3,trial,3.3333333333333335
dot_memory,321,2,1,trial,1.6666666666666667
dot_memory,321,2,2,trial,0
dot_memory,321,2,3,trial,1.6666666666666667
dot_memory,321,3,1,trial,1.6666666666666667
dot_memory,321,3,2,trial,1.6666666666666667
dot_memory,321,3,3,trial,1.6666666666666667
dot_memory,322,1,1,trial,3.3333333333333335
dot_memory,322,1,2,trial,1.6666666666666667
dot_memory,322,1,3,trial,2.3570226039551585
dot_memory,322,2,1,trial,2.3570226039551585
dot_memory,322,2,2,trial,6.380711874576984
dot_memory,322,2,3,trial,7.3570226039551585
dot_memory,322,3,1,trial,2.3570226039551585
dot_memory,322,3,2,trial,4.0236892706218255
dot_memory,322,3,3,trial,1.6666666666666667
dot_memory,323,1,1,trial,3.3333333333333335
dot_memory,323,1,2,trial,0
dot_memory,323,1,3,trial,4.0236892706218255
dot_memory,323,2,1,trial,4.0236892706218255
dot_memory,323,2,2,trial,6.666666666666667
dot_memory,323,2,3,trial,3.72677996249965
dot_memory,323,3,1,trial,0
dot_memory,323,3,2,trial,0
dot_memory,323,3,3,trial,5
dot_memory,324,1,1,trial,4.0236892706218255
dot_memory,324,1,2,trial,3.3333333333333335
dot_memory,324,1,3,trial,0
dot_memory,324,2,1,trial,5
dot_memory,324,2,2,trial,4.0236892706218255
dot_memory,324,2,3,trial,3.3333333333333335
dot_memory,324,3,1,trial,4.0236892706218255
dot_memory,324,3,2,trial,4.0236892706218255
dot_memory,324,3,3,trial,1.6666666666666667
dot_memory,325,1,1,trial,1.6666666666666667
dot_memory,325,1,2,trial,1.6666666666666667
dot_memory,325,1,3,trial,2.3570226039551585
dot_memory,325,2,1,trial,1.6666666666666667
dot_memory,325,2,2,trial,0
dot_memory,325,2,3,trial,1.6666666666666667
dot_memory,325,3,1,trial,1.6666666666666667
dot_memory,325,3,2,trial,3.3333333333333335
dot_memory,325,3,3,trial,0
dot_memory,326,1,1,trial,3.3333333333333335
dot_memory,326,1,2,trial,3.3333333333333335
dot_memory,326,1,3,trial,0
dot_memory,326,2,1,trial,1.6666666666666667
dot_memory,326,2,2,trial,0
dot_memory,326,2,3,trial,0
dot_memory,326,3,1,trial,5
dot_memory,326,3,2,trial,1.6666666666666667
dot_memory,326,3,3,trial,1.6666666666666667
dot_memory,327,1,1,trial,5.393446629166316
dot_memory,327,1,2,trial,0
dot_memory,327,1,3,trial,3.3333333333333335
dot_memory,327,2,1,trial,6.666666666666667
dot_memory,327,2,2,trial,2.3570226039551585
dot_memory,327,2,3,trial,6.666666666666667
dot_memory,327,3,1,trial,3.3333333333333335
dot_memory,327,3,2,trial,8.440825170409967
dot_memory,327,3,3,trial,4.0236892706218255
dot_memory,328,1,1,trial,0
dot_memory,328,1,2,trial,5.6903559372884915
dot_memory,328,1,3,trial,4.0236892706218255
dot_memory,328,2,1,trial,7.3570226039551585
dot_memory,328,2,2,trial,3.3333333333333335
dot_memory,328,2,3,trial,5
dot_memory,328,3,1,trial,6.083802566454808
dot_memory,328,3,2,trial,0
dot_memory,328,3,3,trial,5.6903559372884915
dot_memory,329,1,1,trial,6.380711874576984
dot_memory,329,1,2,trial,5.6903559372884915
dot_memory,329,1,3,trial,8.333333333333334
dot_memory,329,2,1,trial,6.937129433613966
dot_memory,329,2,2,trial,7.0710678118654755
dot_memory,329,2,3,trial,8.333333333333334
dot_memory,329,3,1,trial,9.34258545910665
dot_memory,329,3,2,trial,1.6666666666666667
dot_memory,329,3,3,trial,9.714045207910315
dot_memory,330,1,1,trial,0
dot_memory,330,1,2,trial,5
dot_memory,330,1,3,trial,0
dot_memory,330,2,1,trial,3.3333333333333335
dot_memory,330,2,2,trial,6.666666666666667
dot_memory,330,2,3,trial,0
dot_memory,330,3,1,trial,0
dot_memory,330,3,2,trial,4.714045207910317
dot_memory,330,3,3,trial,0
dot_memory,331,1,1,trial,7.060113295832983
dot_memory,331,1,2,trial,5
dot_memory,331,1,3,trial,9.41713589978814
dot_memory,331,2,1,trial,5.6903559372884915
dot_memory,331,2,2,trial,3.3333333333333335
dot_memory,331,2,3,trial,4.0236892706218255
dot_memory,331,3,1,trial,0
dot_memory,331,3,2,trial,2.3570226039551585
dot_memory,331,3,3,trial,5
dot_memory,332,1,1,trial,5.393446629166316
dot_memory,332,1,2,trial,2.3570226039551585
dot_memory,332,1,3,trial,1.6666666666666667
dot_memory,332,2,1,trial,1.6666666666666667
dot_memory,332,2,2,trial,4.714045207910317
dot_memory,332,2,3,trial,1.6666666666666667
dot_memory,332,3,1,trial,8.333333333333334
dot_memory,332,3,2,trial,3.3333333333333335
dot_memory,332,3,3,trial,7.3570226039551585
dot_memory,333,1,1,trial,1.6666666666666667
dot_memory,333,1,2,trial,1.6666666666666667
dot_memory,333,1,3,trial,0
dot_memory,333,2,1,trial,1.6666666666666667
dot_memory,333,2,2,trial,0
dot_memory,333,2,3,trial,1.6666666666666667
dot_memory,333,3,1,trial,0
dot_memory,333,3,2,trial,5
dot_memory,333,3,3,trial,0
dot_memory,334,1,1,trial,1.6666666666666667
dot_memory,334,1,2,trial,1.6666666666666667
dot_memory,334,1,3,trial,3.3333333333333335
dot_memory,334,2,1,trial,0
dot_memory,334,2,2,trial,1.6666666666666667
dot_memory,334,2,3,trial,0
dot_memory,334,3,1,trial,0
dot_memory,334,3,2,trial,0
dot_memory,334,3,3,trial,3.3333333333333335
dot_memory,335,1,1,trial,2.3570226039551585
dot_memory,335,1,2,trial,3.3333333333333335
dot_memory,335,1,3,trial,3.3333333333333335
dot_memory,335,2,1,trial,1.6666666666666667
dot_memory,335,2,2,trial,0
dot_memory,335,2,3,trial,1.6666666666666667
dot_memory,335,3,1,trial,0
dot_memory,335,3,2,trial,0
dot_memory,335,3,3,trial,0
dot_memory,336,1,1,trial,0
dot_memory,336,1,2,trial,0
dot_memory,336,1,3,trial,5
dot_memory,336,2,1,trial,0
dot_memory,336,2,2,trial,3.3333333333333335
dot_memory,336,2,3,trial,3.3333333333333335
dot_memory,336,3,1,trial,0
dot_memory,336,3,2,trial,3.3333333333333335
dot_memory,336,3,3,trial,0
dot_memory,337,1,1,trial,5
dot_memory,337,1,2,trial,7.060113295832983
dot_memory,337,1,3,trial,0
dot_memory,337,2,1,trial,7.3570226039551585
dot_memory,337,2,2,trial,3.3333333333333335
dot_memory,337,2,3,trial,3.3333333333333335
