id,session,session_seq,visit_id,trial,dot,distance
314,3,3,314_3_2023-09-14,3,3,0
315,1,1,315_1_2023-10-11,1,1,0
315,1,1,315_1_2023-10-11,1,2,0
315,1,1,315_1_2023-10-11,1,3,0
315,1,1,315_1_2023-10-11,2,1,10
315,1,1,315_1_2023-10-11,2,2,0
315,1,1,315_1_2023-10-11,2,3,0
315,1,1,315_1_2023-10-11,3,1,5
315,1,1,315_1_2023-10-11,3,2,7.0710678118654755
315,1,1,315_1_2023-10-11,3,3,7.0710678118654755
315,2,2,315_2_2023-10-11,1,1,5
315,2,2,315_2_2023-10-11,1,2,7.0710678118654755
315,2,2,315_2_2023-10-11,1,3,0
315,2,2,315_2_2023-10-11,2,1,5
315,2,2,315_2_2023-10-11,2,2,0
315,2,2,315_2_2023-10-11,2,3,0
315,2,2,315_2_2023-10-11,3,1,14.142135623730951
315,2,2,315_2_2023-10-11,3,2,0
315,2,2,315_2_2023-10-11,3,3,11.180339887498949
315,3,3,315_3_2023-10-11,1,1,0
315,3,3,315_3_2023-10-11,1,2,0
315,3,3,315_3_2023-10-11,1,3,0
315,3,3,315_3_2023-10-11,2,1,5
315,3,3,315_3_2023-10-11,2,2,0
315,3,3,315_3_2023-10-11,2,3,0
315,3,3,315_3_2023-10-11,3,1,11.180339887498949
315,3,3,315_3_2023-10-11,3,2,5
315,3,3,315_3_2023-10-11,3,3,5
316,1,1,316_1_2023-10-06,1,1,0
316,1,1,316_1_2023-10-06,1,2,0
316,1,1,316_1_2023-10-06,1,3,0
316,1,1,316_1_2023-10-06,2,1,0
316,1,1,316_1_2023-10-06,2,2,0
316,1,1,316_1_2023-10-06,2,3,0
316,1,1,316_1_2023-10-06,3,1,0
316,1,1,316_1_2023-10-06,3,2,0
316,1,1,316_1_2023-10-06,3,3,0
316,2,2,316_2_2023-10-06,1,1,0
316,2,2,316_2_2023-10-06,1,2,0
316,2,2,316_2_2023-10-06,1,3,0
316,2,2,316_2_2023-10-06,2,1,7.0710678118654755
316,2,2,316_2_2023-10-06,2,2,0
316,2,2,316_2_2023-10-06,2,3,0
316,2,2,316_2_2023-10-06,3,1,0
316,2,2,316_2_2023-10-06,3,2,0
316,2,2,316_2_2023-10-06,3,3,0
316,3,3,316_3_2023-10-06,1,1,0
316,3,3,316_3_2023-10-06,1,2,0
316,3,3,316_3_2023-10-06,1,3,0
316,3,3,316_3_2023-10-06,2,1,0
316,3,3,316_3_2023-10-06,2,2,0
316,3,3,316_3_2023-10-06,2,3,0
316,3,3,316_3_2023-10-06,3,1,0
316,3,3,316_3_2023-10-06,3,2,0
316,3,3,316_3_2023-10-06,3,3,5
317,1,1,317_1_2023-10-13,1,1,5
317,1,1,317_1_2023-10-13,1,2,5
317,1,1,317_1_2023-10-13,1,3,5
317,1,1,317_1_2023-10-13,2,1,0
317,1,1,317_1_2023-10-13,2,2,0
317,1,1,317_1_2023-10-13,2,3,10
317,1,1,317_1_2023-10-13,3,1,7.0710678118654755
317,1,1,317_1_2023-10-13,3,2,7.0710678118654755
317,1,1,317_1_2023-10-13,3,3,0
317,2,2,317_2_2023-10-13,1,1,5
317,2,2,317_2_2023-10-13,1,2,10
317,2,2,317_2_2023-10-13,1,3,5
317,2,2,317_2_2023-10-13,2,1,7.0710678118654755
317,2,2,317_2_2023-10-13,2,2,5
317,2,2,317_2_2023-10-13,2,3,5
317,2,2,317_2_2023-10-13,3,1,5
317,2,2,317_2_2023-10-13,3,2,10
317,2,2,317_2_2023-10-13,3,3,5
317,3,3,317_3_2023-10-13,1,1,5
317,3,3,317_3_2023-10-13,1,2,5
317,3,3,317_3_2023-10-13,1,3,5
317,3,3,317_3_2023-10-13,2,1,5
317,3,3,317_3_2023-10-13,2,2,11.180339887498949
317,3,3,317_3_2023-10-13,2,3,7.0710678118654755
317,3,3,317_3_2023-10-13,3,1,15.811388300841896
317,3,3,317_3_2023-10-13,3,2,5
317,3,3,317_3_2023-10-13,3,3,7.0710678118654755
318,1,1,318_1_2024-01-10,1,1,0
318,1,1,318_1_2024-01-10,1,2,0
318,1,1,318_1_2024-01-10,1,3,0
318,1,1,318_1_2024-01-10,2,1,0
318,1,1,318_1_2024-01-10,2,2,0
318,1,1,318_1_2024-01-10,2,3,5
318,1,1,318_1_2024-01-10,3,1,0
318,1,1,318_1_2024-01-10,3,2,0
318,1,1,318_1_2024-01-10,3,3,0
318,2,2,318_2_2024-01-10,1,1,0
318,2,2,318_2_2024-01-10,1,2,0
318,2,2,318_2_2024-01-10,1,3,5
318,2,2,318_2_2024-01-10,2,1,0
318,2,2,318_2_2024-01-10,2,2,0
318,2,2,318_2_2024-01-10,2,3,0
318,2,2,318_2_2024-01-10,3,1,0
318,2,2,318_2_2024-01-10,3,2,0
318,2,2,318_2_2024-01-10,3,3,0
318,3,3,318_3_2024-01-10,1,1,0
318,3,3,318_3_2024-01-10,1,2,0
318,3,3,318_3_2024-01-10,1,3,0
318,3,3,318_3_2024-01-10,2,1,0
318,3,3,318_3_2024-01-10,2,2,0
318,3,3,318_3_2024-01-10,2,3,0
318,3,3,318_3_2024-01-10,3,1,0
318,3,3,318_3_2024-01-10,3,2,0
318,3,3,318_3_2024-01-10,3,3,0
319,1,1,319_1_2024-01-05,1,1,5
319,1,1,319_1_2024-01-05,1,2,0
319,1,1,319_1_2024-01-05,1,3,0
319,1,1,319_1_2024-01-05,2,1,5
319,1,1,319_1_2024-01-05,2,2,5
319,1,1,319_1_2024-01-05,2,3,5
319,1,1,319_1_2024-01-05,3,1,0
